Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1852.999626363185,OUT049
FDW14,1579.6253027776588,OUT017
NCN55,1888.4466009137723,OUT010
FDQ58,2609.313727236627,OUT017
FDY38,5179.228541181565,OUT027
FDH56,1915.7034715959358,OUT046
FDL48,596.7354505402259,OUT018
FDC48,2777.8289439134164,OUT027
FDN33,1510.3662875297198,OUT045
FDA36,3079.223224562995,OUT017
FDT44,1997.2632212322846,OUT017
FDQ56,1306.6609009702447,OUT045
NCC54,1849.4183804332856,OUT019
FDU11,2045.7043562679273,OUT049
DRL59,888.7774636643555,OUT013
FDM24,2558.8073894987183,OUT049
FDI57,3088.6609293877673,OUT045
DRC12,2764.927186983654,OUT018
NCM42,3192.4117716776586,OUT027
FDA46,1133.654260524879,OUT010
FDA31,2798.8125418091413,OUT013
NCJ31,3878.410998597327,OUT035
FDG52,803.8870760581827,OUT046
NCL19,376.01724971945134,OUT019
FDS10,3027.566267733811,OUT035
FDX22,1448.806560423088,OUT010
NCF19,915.0755485850123,OUT035
NCE06,2527.742930338446,OUT046
DRC27,3843.2279701737393,OUT046
FDE21,2025.2862599915097,OUT035
NCR42,-1357.7069058385619,OUT019
FDX51,2863.2151448363993,OUT018
NCR06,429.3509394581707,OUT018
FDU31,4940.216761876463,OUT027
FDU59,2712.280175799802,OUT017
FDR03,4767.686665185394,OUT027
FDS49,2760.725986472518,OUT027
FDD48,-73.36090656101362,OUT010
NCF18,3110.833640587484,OUT017
NCD43,3099.634036517426,OUT027
NCD54,1989.8563495209673,OUT018
FDY19,-36.063395878929555,OUT010
NCY54,2810.9080571543514,OUT017
NCL19,2023.209367786289,OUT018
FDP23,1533.6166043585156,OUT010
FDC26,1817.9674511371961,OUT013
FDR14,-1040.094009891636,OUT010
NCS41,3035.7207024356467,OUT035
FDF41,4041.784747578607,OUT035
FDU34,2002.574789550778,OUT046
DRH11,919.7377052008696,OUT046
FDM03,1764.0522299698112,OUT013
FDS31,3048.941452099114,OUT017
FDJ20,2092.031999355583,OUT017
FDV44,4494.507284749441,OUT027
FDG02,3102.747648811829,OUT049
FDA09,2910.7236559757976,OUT013
FDT04,690.7840585876057,OUT013
FDL58,2294.266179405713,OUT019
FDE52,1455.7573488698526,OUT045
FDW12,2503.711093888981,OUT035
FDL51,3549.1249498970183,OUT017
NCY42,3687.3393298154583,OUT027
FDR07,1658.6860659530848,OUT017
FDN40,2374.408535265021,OUT045
FDB35,2949.7656335164443,OUT027
FDA22,2742.240548930584,OUT017
NCL06,4110.960229322833,OUT046
FDI35,2917.4494869347254,OUT013
