Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1650.6138583868742,OUT049
FDW14,1368.7807755215922,OUT017
NCN55,572.3759931544037,OUT010
FDQ58,2463.0491914924646,OUT017
FDY38,5850.094137457012,OUT027
FDH56,1935.4349318455252,OUT046
FDL48,764.7086687358012,OUT018
FDC48,2171.630021638083,OUT027
FDN33,1508.7103766123319,OUT045
FDA36,3103.4517446239975,OUT017
FDT44,1932.420934005768,OUT017
FDQ56,1361.8905177959523,OUT045
NCC54,572.4883287579652,OUT019
FDU11,2017.5850096185613,OUT049
DRL59,872.1282575916302,OUT013
FDM24,2450.3092020161653,OUT049
FDI57,3051.3600612201353,OUT045
DRC12,2961.714488309675,OUT018
NCM42,2915.754521780125,OUT027
FDA46,509.3549292396006,OUT010
FDA31,2868.9211579390208,OUT013
NCJ31,3862.724344383297,OUT035
FDG52,787.7300230765418,OUT046
NCL19,287.6581396289687,OUT019
FDS10,2979.4366502238777,OUT035
FDX22,565.6821043926691,OUT010
NCF19,757.7100136987425,OUT035
NCE06,2537.1734617874226,OUT046
DRC27,3887.946614417139,OUT046
FDE21,1959.9640857228026,OUT035
NCR42,130.97137375730438,OUT019
FDX51,3000.425205292145,OUT018
NCR06,619.0590800196951,OUT018
FDU31,5850.094137457012,OUT027
FDU59,2535.4828097903983,OUT017
FDR03,5848.070568251267,OUT027
FDS49,2078.5838960310452,OUT027
FDD48,268.83260546953005,OUT010
NCF18,3023.005228544712,OUT017
NCD43,2864.9468254069916,OUT027
NCD54,2128.904381623509,OUT018
FDY19,268.98348137522254,OUT010
NCY54,2873.1083761295035,OUT017
NCL19,2449.9898370037486,OUT018
FDP23,569.1920132556795,OUT010
FDC26,1741.5238155691754,OUT013
FDR14,130.97137375730438,OUT010
NCS41,3105.010557344358,OUT035
FDF41,3874.086984743617,OUT035
FDU34,2046.9085740093308,OUT046
DRH11,956.2841946282269,OUT046
FDM03,1652.6847747410084,OUT013
FDS31,3051.2026641593375,OUT017
FDJ20,2002.6340788833027,OUT017
FDV44,5169.375047302679,OUT027
FDG02,3110.933613865894,OUT049
FDA09,3011.4546765010914,OUT013
FDT04,692.1901259677293,OUT013
FDL58,570.6759399842559,OUT019
FDE52,1386.5360559107146,OUT045
FDW12,2479.4824698074176,OUT035
FDL51,3652.6141900692933,OUT017
NCY42,3022.39293757903,OUT027
FDR07,1533.3987346509678,OUT017
FDN40,2455.7322231864764,OUT045
FDB35,2708.8710949378715,OUT027
FDA22,2523.1468391733433,OUT017
NCL06,4126.9447348851445,OUT046
FDI35,3060.809066028891,OUT013
NCW42,3751.985309682447,OUT045
NCX06,2998.438462016343,OUT049
FDC37,2894.050749751713,OUT027
FDZ14,1949.2382987899236,OUT018
DRG49,3864.933050659944,OUT049
NCG06,4086.0026424336083,OUT045
DRC36,2877.8460170498815,OUT045
FDV21,281.60294939790725,OUT019
FDB53,2503.1250703008095,OUT046
DRP47,571.1039634640872,OUT019
FDA14,2465.0411846619004,OUT013
DRC24,2548.487074783175,OUT035
FDW21,1615.2604737608403,OUT018
NCH29,1536.3520420727457,OUT046
FDU58,3099.887645831186,OUT013
FDY27,2888.609507466307,OUT017
FDV56,1664.609352807949,OUT035
FDT59,3831.428858708037,OUT046
FDB23,3763.984823944247,OUT046
FDR49,755.9363220770122,OUT045
FDB03,572.9778401349715,OUT010
FDN39,2628.1586455849783,OUT045
FDX02,5850.094137457012,OUT027
FDQ16,2888.662625877026,OUT027
FDU35,1550.839997536454,OUT018
NCT29,2010.4843634146112,OUT013
FDZ27,788.6870835643857,OUT046
FDN57,2037.8428122545527,OUT017
FDA03,2441.8107928997993,OUT018
FDZ36,3120.2188670120463,OUT045
NCU05,1402.4251523520986,OUT013
FDT39,2396.193364784692,OUT018
FDK60,1535.3781572778007,OUT017
FDZ25,2786.9393075766047,OUT017
FDG12,2076.779195704743,OUT046
DRB01,503.36594386617327,OUT019
NCC43,5850.094137457012,OUT027
FDX13,568.7366627156346,OUT019
FDM22,857.3714545127764,OUT049
FDJ03,1102.140479472862,OUT027
FDU14,3801.1038594128477,OUT018
FDB33,382.86154103350503,OUT010
FDP27,3116.444779677125,OUT046
FDO38,156.51537133528885,OUT010
FDE28,5850.094137457012,OUT027
FDO27,1507.3134409135214,OUT035
DRL23,2887.1101251718187,OUT027
FDS28,955.6803872683877,OUT046
FDX24,1451.1633227128395,OUT013
FDZ02,1530.2562522429905,OUT035
FDL46,1914.2588558146456,OUT045
FDS60,4780.6338013606055,OUT027
NCO06,594.6371136785314,OUT017
FDO16,1356.530074378547,OUT035
FDC60,1370.5537351970875,OUT049
FDA48,3447.3199631106186,OUT018
FDZ36,5158.610793575706,OUT027
FDK27,2042.5041020364408,OUT045
FDW23,605.3444841314308,OUT018
FDM14,1687.9698728243561,OUT018
FDM14,1655.9799017239407,OUT013
FDW60,2853.545367703913,OUT018
FDE21,1971.8866828760167,OUT013
NCM42,1664.609352807949,OUT035
FDY59,232.37564357363158,OUT010
DRI49,1312.1543395363394,OUT049
FDT28,364.2517679178667,OUT019
FDQ22,607.9415972121566,OUT018
FDR60,1274.748426062578,OUT049
FDC50,239.3814752320706,OUT019
FDV24,2404.5517687847264,OUT013
DRF48,492.5376534979967,OUT010
FDQ47,633.8475259432391,OUT046
DRN36,1530.4023932979785,OUT049
NCY06,2022.3009845263848,OUT035
FDE52,1384.8877838586736,OUT035
NCB54,2008.0996201979929,OUT045
NCF31,2486.094749554113,OUT035
FDJ08,5196.703857728996,OUT027
NCC07,1655.2572819601069,OUT017
NCD19,1280.762266187928,OUT027
FDL46,1976.4275580969447,OUT049
FDM20,4039.7956314708545,OUT045
NCI06,453.8246726568183,OUT010
DRM11,4201.849873133423,OUT035
NCH07,2503.2937985917874,OUT018
FDS23,2025.5973605463666,OUT013
FDO49,762.065574640532,OUT018
FDS35,1053.7605851200858,OUT049
DRK39,1340.9641582271447,OUT045
DRI39,886.9182573406697,OUT049
FDV04,2519.845972229738,OUT017
NCN14,3050.067686031903,OUT035
FDH08,3741.6272726441566,OUT013
FDS20,3143.488662471893,OUT046
FDV40,1139.0872810782305,OUT049
FDZ48,260.3918287855692,OUT010
FDS24,2574.318866465254,OUT027
FDK44,2861.756364735444,OUT049
FDS48,2524.6097362736436,OUT045
FDK26,493.82946480210927,OUT010
FDD23,3101.853501531877,OUT045
NCH54,2596.577917710363,OUT017
NCP14,242.3006208840556,OUT010
FDM60,130.97137375730438,OUT010
FDV24,2445.404873413263,OUT017
FDH08,3539.6996780093014,OUT018
FDS12,3002.6612023030675,OUT027
FDR39,4869.624425704553,OUT027
FDP12,1024.8207185786002,OUT027
DRF60,5850.094137457012,OUT027
FDC09,1652.6552025476942,OUT035
FDF50,3021.6486449260397,OUT018
FDG28,4037.4701207643016,OUT035
NCE19,862.9066864441339,OUT017
NCM53,251.40881762095069,OUT010
NCN18,1722.7670832895599,OUT049
